Size(N),Experiment Height(h),Log of Size,Sqrt of Size
822,21.9,6.703678790385153,28.555209682297903
823,22.4,6.704659422971705,28.569214199904064
824,22.5,6.718529945871388,28.768037819774918
825,22.4,6.714170529909472,28.705400188814647
826,21.8,6.71295620067707,28.687976575562104
827,22.3,6.71319918451984,28.691462144686877
828,22.1,6.7148984202727995,28.715849282234366
829,22.4,6.720943656915318,28.802777643831508
830,22.1,6.716836874962664,28.743694960808362
831,21.9,6.725753670999103,28.872131892189742
832,22.3,6.7355424563364705,29.013789824840188
833,22.1,6.720702547812281,28.799305547182904
834,21.8,6.727431724850855,28.89636655359978
835,21.8,6.729106967554478,28.92058090702882
836,22.7,6.73744134131246,29.041349830887683
837,22.4,6.7338779689708455,28.98965332666122
838,23.7,6.732449057082087,28.96894889359985
839,21.9,6.725513718988353,28.86866813692658
840,23.2,6.739573285741901,29.072323608545638
841,22.6,6.736017515727827,29.020682280056754
842,21.4,6.728389350013815,28.910205810405433
843,23.4,6.750867523444993,29.23696290656743
844,22.3,6.733163768250093,28.979302959181055
845,22.8,6.739336627357174,29.068883707497267
846,22.3,6.741936794287197,29.10670025956223
847,23.7,6.741936794287197,29.10670025956223
848,22.9,6.7336399587352815,28.98620361482338
849,22.5,6.741700694652055,29.103264421710495
850,23.0,6.7338779689708455,28.98965332666122
851,23.1,6.734115922571016,28.993102628038965
852,21.8,6.747116933019324,29.182186347153635
853,22.2,6.746882053394052,29.178759397890786
854,22.1,6.739336627357174,29.068883707497267
855,23.0,6.747586526829315,29.189039038652847
856,22.0,6.764115828780526,29.431275881279767
857,22.3,6.750165358407366,29.226700121635353
858,22.1,6.748759547491679,29.206163733020468
859,21.7,6.751335359710835,29.243802762294784
860,23.4,6.769641976852503,29.512709126747414
861,22.1,6.762729506931879,29.410882339705484
862,22.7,6.766422102865493,29.465233750981852
863,22.2,6.760414691083428,29.376861643136763
864,23.7,6.76849321164863,29.49576240750525
865,22.6,6.76573077895272,29.455050500720585
866,21.9,6.74993119378857,29.223278392404914
867,21.7,6.763191827790784,29.41768175774563
868,24.4,6.75855897262001,29.34961669255665
